,EV,TS,P,Type,E1,D3,time1
98999,590197,400001,100000,29014,0.000214931793,0.000214932,19423.78398
99005,590198,200001,100000,29014,0.001336956639,0.00133696,3797.016483
99007,172504,200001,100000,29014,0.001325603149,0.0013256,2327.499563
99008,242891,500001,100000,29014,0.0003804116037,0.000380412,31470.74018
99009,590199,200001,100000,29014,0.00133360627,0.00133361,11594.50882
99028,731350,200001,100000,29014,0.001317346015,0.00131735,11446.74843
99030,449278,200001,100000,29014,0.001327563851,0.00132756,6461.140761
99034,731353,800001,100000,30014,0.00509284202,0.00509284,10656.26398
99052,940975,900001,100000,29014,0.002460409053,0.00378941,48791.48365
99053,379287,700001,100000,29014,0.001267256748,0.00126726,25260.59502
99054,520197,400001,100000,29014,0.0002068081978,0.000206808,42083.69733
99065,311594,800001,100000,30014,0.0009632854786,0.000963285,15814.90022
99072,870808,500001,100000,29014,0.0016248731,0.00162487,2453.359154
99081,449302,200001,100000,29014,0.001321307777,0.00132131,20626.5732
99082,520211,200001,100000,29014,0.001322108453,0.00132211,8350.958993
99096,940993,200001,100000,29014,0.001319256677,0.00131926,675.9512327
99098,449310,700001,100000,29014,0.002497582595,0.00249758,10553.67009
99099,801524,400001,100000,29014,0.0006078368172,0.00194189,4154.539332
99104,172554,500001,100000,29014,0.0003878642149,0.000387864,2454.832444
99109,731367,500001,100000,29014,0.0007884199982,0.00078842,55098.23657
99111,520226,500001,100000,29014,0.0004186282082,0.000418628,7659.132128
99115,242944,300001,100000,29014,0.001318211479,0.00131821,22310.12173
99124,590255,600001,100000,29014,0.002827843547,0.00282784,3958.78709
99137,941007,200001,100000,29014,0.001339516024,0.00133952,1863.527165
99138,590262,200001,100000,29014,0.001329982991,0.00132998,4765.210063
99151,311603,600001,100000,29014,0.001005621415,0.00100562,49489.89353
99157,33918,200001,100000,29014,0.001329415475,0.00132942,1791.70711
99163,33921,600001,100000,29014,0.001154112528,0.00115411,8443.579818
99171,103438,400001,100000,29014,0.0003288755158,0.000328876,14798.51486
99178,660853,300001,100000,29014,0.001327515011,0.00132752,12840.22749
99186,103444,300001,100000,29014,0.001339083672,0.00133908,8799.665121
99187,660857,200001,100000,29014,0.001328917793,0.00132892,13703.4169
99189,172573,500001,100000,29014,0.001166482891,0.00116648,14165.66239
99199,379321,200001,100000,29014,0.001318681198,0.00131868,22099.29932
99200,449358,200001,100000,29014,0.001338770452,0.00133877,1959.836277
99210,590290,600001,100000,29014,0.0007626915733,0.000762692,12650.11285
99212,449368,400001,100000,29014,0.001702198156,0.0024562,6807.969517
99222,242995,200001,100000,29014,0.001331150281,0.00133115,9806.737043
99225,520267,200001,100000,29014,0.001331035609,0.00133104,1608.873727
99227,33948,500001,100000,29014,0.001241543098,0.00124154,5139.109177
99238,242999,500001,100000,29014,0.0006948778804,0.000694878,18787.8424
99246,449377,400001,100000,29014,0.0001106546532,0.000110655,4162.52547
99252,801583,400001,100000,29014,0.0007659892191,0.000765989,9014.984154
99257,103469,600001,100000,29014,0.0004055405064,0.000405541,509.6877404
99259,520279,300001,100000,29014,0.001332544251,0.00133254,38269.96568
99268,801592,400001,100000,29014,0.00058375741,0.000583757,1687.733873
99286,243006,500001,100000,29014,0.0002486854814,0.000248685,21540.0943
99297,590299,300001,100000,29014,0.001339440566,0.00133944,5532.986405
99305,449384,500001,100000,29014,0.002002556341,0.00200256,2879.150911
99306,731453,500001,100000,29014,0.0002235618236,0.000223562,4902.725164
99307,33973,500001,100000,29014,0.00165059022,0.00165059,5739.099331
99309,311614,400001,100000,29014,0.0001941203446,0.00019412,13382.01353
