,EV,TS,P,Type,E1,D3,time1
101326,6225291,600001,100000,41018,0.0007527226681,0.0007527226681,43003.74934
102536,6226269,700001,100000,41018,0.001626626435,0.001626626435,533982.0456
105612,6229121,600001,100000,41018,0.0004787327368,0.0004787327368,65443.91465
107495,6230906,500001,100000,37018,0.000440542459,0.000440542459,112910.9982
107807,6231197,200001,100000,41018,0.0004940550037,0.0004940550037,692858.6878
108202,6231546,400001,100000,41018,0.00042267057,0.00042267057,152822.9139
109995,6232966,200001,100000,41018,0.000490558594,0.000490558594,227235.5166
110682,6233467,1000001,100000,41018,0.001467642097,0.001467642097,512854.9887
111374,6233939,1000001,100000,41018,0.0002456946814,0.0002456946814,135840.1076
112361,6234782,1000001,100000,41018,0.0006140941382,0.0006140941382,239310.2558
112743,6234801,700001,100000,41018,0.001113224493,0.001113224493,374958.5681
113733,6235524,700001,100000,41018,0.0007174416147,0.0007174416147,336857.7139
113991,6235638,600001,100000,41018,0.0004646929422,0.0004646929422,82628.46632
115116,6236399,700001,100000,41018,0.0002208952938,0.0002208952938,452724.0954
115588,6236609,500001,100000,41018,0.0002551567761,0.0002551567761,233855.1791
116380,6237364,900001,100000,41018,0.0004440411468,0.0004440411468,356468.6663
117173,6237971,1000001,100000,41018,0.0002949254896,0.0002949254896,130192.5316
118862,6239325,1000001,100000,41018,0.0001158532856,0.0001158532856,94251.95806
122271,6242555,700001,100000,41018,0.0006889218523,0.0006889218523,25930.602
122341,6242583,600001,100000,41018,0.0001861754796,0.0001861754796,490617.5105
123696,6243733,600001,100000,41018,0.0003103446087,0.0003103446087,411301.2301
123970,6243921,900001,100000,41018,0.001370764773,0.001370764773,197312.283
126295,6246143,800001,100000,41018,0.0004495362709,0.0004495362709,427707.2363
