Rb	 85-Rb	 37	 85	   72.17(2)         	    0.48(9)         	1.0000	   90
Kr	 86-Kr	 36	 86	   17.30(22)        	    0.003(2)        	1.0000	   38
Sr	 86-Sr	 38	 86	    9.86(1)         	    1.04(7)         	1.0000	  375
Rb	 87-Rb	 37	 87	   27.83(2)         	    0.12(3)         	1.0000	   86
Sr	 87-Sr	 38	 87	    7.00(1)         	    17(3)           	1.0060	  210
Sr	 88-Sr	 38	 88	   82.58(1)         	    0.0058(4)       	1.0000	   57
Y 	 89-Y 	 39	 89	   100              	    1.28(2)         	1.0050	  397
Zr	 90-Zr	 40	 90	   51.45(40)        	    0.011(5)        	1.0000	   15
Zr	 91-Zr	 40	 91	   11.22(5)         	    1.24(25)        	1.0000	   81
Zr	 92-Zr	 40	 92	   17.15(8)         	    0.22(6)         	1.0000	   18
Mo	 92-Mo	 42	 92	   14.84(35)        	    0.0190          	1.0000	    5
Nb	 93-Nb	 41	 93	   100              	    1.15(5)         	1.0020	  535
Zr	 94-Zr	 40	 94	   17.38(28)        	    0.0499(24)      	1.0000	   14
Mo	 94-Mo	 42	 94	    9.25(12)        	    0.0150          	1.0010	   13
Mo	 95-Mo	 42	 95	   15.92(13)        	   13.4(3)          	 .9980	  139
Zr	 96-Zr	 40	 96	    2.80(9)         	    0.020(1)        	1.0000	   34
Mo	 96-Mo	 42	 96	   16.68(2)         	    0.5(2)          	1.0010	   36
Ru	 96-Ru	 44	 96	    5.54(14)        	    0.22(2)         	1.0010	    2
Mo	 97-Mo	 42	 97	    9.55(8)         	    2.5(2)          	 .9980	  110
Mo	 98-Mo	 42	 98	   24.13(31)        	    0.137(5)        	1.0000	   56
Ru	 98-Ru	 44	 98	    1.87(3)         	   <8.0             	1.0020	    1
Ru	 99-Ru	 44	 99	   12.76(14)        	    7.1(10)         	1.0020	  134
Mo	100-Mo	 42	100	    9.63(23)        	    0.199(3)        	1.0000	  332
Ru	100-Ru	 44	100	   12.60(7)         	    5.0(6)          	1.0000	   32
Ru	101-Ru	 44	101	   17.06(2)         	    3.4(9)          	1.0010	   60
Ru	102-Ru	 44	102	   31.55(14)        	    1.21(7)         	1.0000	  173
Pd	102-Pd	 46	102	    1.02(1)         	    3.4(3)          	 .9970	    4
Rh	103-Rh	 45	103	   100              	   145(2)           	1.0230	  264
Ru	104-Ru	 44	104	   18.62(27)        	    0.47(2)         	1.0000	  183
Pd	104-Pd	 46	104	   11.14(8)         	    0.6(3)          	1.0000	   11
Pd	105-Pd	 46	105	   22.33(8)         	   21.0(15)         	 .9950	  114
Pd	106-Pd	 46	106	   27.33(3)         	    0.31(3)         	 .9990	    7
Cd	106-Cd	 48	106	    1.25(6)         	   ~1.0             	1.0000	    0
Ag	107-Ag	 47	107	   51.839(8)        	   37.6(12)         	 .9980	  172
Pd	108-Pd	 46	108	   26.46(9)         	    7.6(4)          	1.0000	  140
Cd	108-Cd	 48	108	    0.89(3)         	    0.72(13)        	1.0010	    0
Ag	109-Ag	 47	109	   48.161(8)        	    91(1)           	1.0050	  129
Pd	110-Pd	 46	110	   11.72(9)         	    0.23(3)         	1.0000	   87
Cd	110-Cd	 48	110	   12.49(18)        	    11(1)           	1.0000	  191
Cd	111-Cd	 48	111	   12.80(12)        	    24(3)           	 .9950	    5
Cd	112-Cd	 48	112	   24.13(21)        	    2.2(5)          	1.0000	    0
Sn	112-Sn	 50	112	    0.97(1)         	    0.86(9)         	1.0000	    0
Cd	113-Cd	 48	113	   12.22(12)        	 20600(400)         	1.3370	  134
In	113-In	 49	113	    4.29(5)         	   15.1(13)         	1.0120	  232
Cd	114-Cd	 48	114	   28.73(42)        	    0.34(2)         	1.0000	    0
Sn	114-Sn	 50	114	    0.66(1)         	    0.12(3)         	1.0010	    0
In	115-In	 49	115	   95.71(5)         	   283(8)           	1.0190	  199
Sn	115-Sn	 50	115	    0.34(1)         	    30(7)           	1.0000	  395
Cd	116-Cd	 48	116	    7.49(18)        	    0.075(20)       	1.0000	    0
Sn	116-Sn	 50	116	   14.54(9)         	    0.14(3)         	1.0000	    9
Sn	117-Sn	 50	117	    7.68(7)         	    1.32(18)        	1.0000	   19
Sn	118-Sn	 50	118	   24.22(9)         	    0.23(5)         	1.0000	    9
Sn	119-Sn	 50	119	    8.59(4)         	    2.2(5)          	1.0000	    9
Sn	120-Sn	 50	120	   32.58(9)         	    0.14(3)         	1.0000	   10
Te	120-Te	 52	120	    0.09(1)         	    2.3(3)          	1.0000	    0
Sb	121-Sb	 51	121	   57.21(5)         	    5.9(2)          	1.0030	  151
Sn	122-Sn	 50	122	    4.63(3)         	    0.139(15)       	1.0000	    9
Te	122-Te	 52	122	    2.55(12)        	    3.9(5)          	1.0000	  113
Sb	123-Sb	 51	123	   42.79(5)         	    4.1(1)          	1.0010	  175
Te	123-Te	 52	123	    0.89(3)         	   418(30)          	1.0110	  162
Sn	124-Sn	 50	124	    5.79(5)         	    0.134(5)        	1.0000	   25
Te	124-Te	 52	124	    4.74(14)        	    6.8(13)         	1.0000	  280
Xe	124-Xe	 54	124	    0.09(1)         	   165(11)          	1.0040	    4
Te	125-Te	 52	125	    7.07(15)        	    1.55(16)        	1.0000	    8
Te	126-Te	 52	126	   18.84(25)        	    1.0(15)         	1.0000	    2
Xe	126-Xe	 54	126	    0.09(1)         	    3.8(8)          	1.0000	    0
I 	127-I 	 53	127	   100              	    6.2(2)          	 .9990	  348
Te	128-Te	 52	128	   31.74(8)         	    0.215(8)        	1.0000	   23
Xe	128-Xe	 54	128	    1.92(3)         	    5.2(13)         	 .9980	    7
Xe	129-Xe	 54	129	   26.44(24)        	    21(7)           	1.0010	   59
Te	130-Te	 52	130	   34.08(62)        	    0.29(6)         	1.0000	  258
Xe	130-Xe	 54	130	    4.08(2)         	    4.8(12)         	 .9980	   13
Ba	130-Ba	 56	130	    0.106(1)        	    8.7(9)          	1.0000	    2
Xe	131-Xe	 54	131	   21.18(3)         	    85(10)          	1.0020	   72
Xe	132-Xe	 54	132	   26.89(6)         	    0.41(5)         	1.0000	    0
Ba	132-Ba	 56	132	    0.101(1)        	    7.0(8)          	 .9790	    2
Cs	133-Cs	 55	133	   100              	   30.3(11)         	1.0020	  384
Xe	134-Xe	 54	134	   10.44(10)        	    0.265(20)       	 .9990	    0
